word,level
あさって,5
あそこ,5
あっち,5
あなた,5
あの,5
あまり,5
ありがとう,5
あれ,5
いいえ,5
いう,5
いくつ,5
いくら,5
いす,5
いただく,5
いちご,5
いつ,5
いつも,5
いろいろ,5
ううん,5
うそ,5
うち,5
うん,5
ええ,5
お,5
おいしい,5
おかえり,5
おじ,5
おじいさん,5
おととい,5
おととし,5
おねがい,5
おはよう,5
おばあさん,5
おもちゃ,5
おやすみ,5
お寺,5
お巡りさん,5
お正月,5
お母さん,5
お父さん,5
お腹,5
お茶,5
お菓子,5
お金,5
かかる,5
かさ,5
かたい,5
かっこ,5
かっこいい,5
かつ,5
かなう,5
かばん,5
かぶせる,5
かぶる,5
から,5
かわいい,5
かわいそう,5
か月,5
きゅうり,5
きれい,5
くしゃみ,5
くだける,5
けが,5
けんか,5
ここ,5
こっち,5
このごろ,5
この間,5
これ,5
これから,5
こんにちは,5
こんばんは,5
ごちそうさま,5
ごめんなさい,5
ごろ,5
ごろごろ,5
ご飯,5
さ,5
さようなら,5
さん,5
ざく,5
じ,5
じゃあ,5
じゃがいも,5
すいか,5
すし,5
すみません,5
ずつ,5
せき,5
そうですね,5
そこ,5
そして,5
そちら,5
そっち,5
その,5
それ,5
それから,5
それに,5
ぞ,5
ぞう,5
たいてい,5
たくさん,5
ただいま,5
たばこ,5
たまねぎ,5
たん,5
だから,5
だけ,5
だれ,5
だんだん,5
ちょっと,5
つまらない,5
つり,5
ていねい,5
できるだけ,5
でも,5
ところで,5
とても,5
とり,5
とる,5
どうして,5
どうも,5
どっち,5
どなた,5
どの,5
どれ,5
どんな,5
なくす,5
なす,5
など,5
にぎやか,5
について,5
にんじん,5
はい,5
はく,5
はし,5
はじめまして,5
はた,5
ばつ,5
ひく,5
ぶどう,5
ほか,5
まあ,5
まじめ,5
まず,5
まっすぐ,5
まで,5
まるい,5
まんじゅう,5
みかん,5
みんな,5
めまい,5
もうすぐ,5
もう一度,5
もしもし,5
もち,5
もちろん,5
もっと,5
もも,5
もらう,5
やけど,5
やさしい,5
やせる,5
やめる,5
ゆっくり,5
よい,5
らっしゃる,5
りんご,5
わかる,5
アイスクリーム,5
アウトドア,5
アボカド,5
アメリカ,5
アルバイト,5
アレルギー,5
アンケート,5
イギリス,5
イタリア,5
インド,5
インフルエンザ,5
エアコン,5
エジプト,5
エレベーター,5
オレンジ,5
オーストラリア,5
カップ,5
カナダ,5
カフェ,5
カメラ,5
カラオケ,5
カレンダー,5
カーテン,5
カード,5
キャベツ,5
ギター,5
クラス,5
グラム,5
グリーン,5
グレー,5
ケーキ,5
ゲーム,5
コップ,5
コンサート,5
コンビニ,5
コンピューター,5
コート,5
コーヒー,5
ゴールド,5
サイズ,5
サッカー,5
サボる,5
サークル,5
サーフィン,5
シェフ,5
シャワー,5
シルバー,5
ジャーナリスト,5
ジュース,5
ジーンズ,5
スキー,5
ストレス,5
ストーブ,5
スペイン,5
スポーツ,5
スリッパ,5
スーパー,5
ズボン,5
ゼロ,5
ダイエット,5
チケット,5
ツアー,5
テスト,5
テニス,5
テレビ,5
テーブル,5
テープ,5
テープレコーダー,5
デパート,5
デート,5
トイレ,5
トマト,5
ドア,5
ドライブ,5
ナイフ,5
ノート,5
ハンカチ,5
ハンバーガー,5
